slug,nombre,provincia_declarada,lat,lng,motivo
praia-da-angra-da-vaca,"Praia da Angra da Vaca",Huelva,37.765,-8.807,"EXTRANJERA · Portugal (coords)"
praia-dos-nascedios,"Praia dos Nascedios",Huelva,37.792,-8.802,"EXTRANJERA · Portugal (coords)"
praia-do-saltinho,"Praia do Saltinho",Huelva,37.794,-8.802,"EXTRANJERA · Portugal (coords)"
praia-do-malhao-norte,"Praia do Malhão Norte",Huelva,37.787,-8.802,"EXTRANJERA · Portugal (coords)"
praia-santa,"Praia Santa",Huelva,37.061,-8.837,"EXTRANJERA · Portugal (coords)"
praia-selvagem,"Praia Selvagem",Huelva,37.840,-8.792,"EXTRANJERA · Portugal (coords)"
meia-praia,"Meia Praia",Huelva,37.119,-8.638,"EXTRANJERA · Portugal (coords)"
praia-da-foz-3,"Praia da Foz",Huelva,37.885,-8.795,"EXTRANJERA · Portugal (coords)"
praia-da-engardaceira,"Praia da Engardaceira",Huelva,37.846,-8.793,"EXTRANJERA · Portugal (coords)"
praia-do-ouro,"Praia do Ouro",Huelva,38.442,-9.109,"EXTRANJERA · Portugal (coords)"
praia-dos-rebolos,"Praia dos Rebolos",Huelva,37.069,-8.782,"EXTRANJERA · Portugal (coords)"
praia-de-benagil,"Praia de Benagil",Huelva,37.087,-8.426,"EXTRANJERA · Portugal (coords)"
praia-da-ponta-da-adega,"Praia da Ponta da Adega",Huelva,37.097,-8.384,"EXTRANJERA · Portugal (coords)"
praia-do-vale-espinhaco,"Praia do Vale Espinhaço",Huelva,37.088,-8.441,"EXTRANJERA · Portugal (coords)"
praia-da-ilha-da-barreta,"Praia da Ilha da Barreta",Huelva,36.972,-7.923,"EXTRANJERA · Portugal (coords)"
praia-fluvial-2,"Praia Fluvial",Huelva,37.162,-8.487,"EXTRANJERA · Portugal (coords)"
praia-do-vale-covo,"Praia do Vale Covo",Huelva,37.093,-8.460,"EXTRANJERA · Portugal (coords)"
praia-do-portinho-do-forno,"Praia do Portinho do Forno",Huelva,37.174,-8.908,"EXTRANJERA · Portugal (coords)"
praia-da-angra-da-cerva,"Praia da Angra da Cerva",Huelva,37.753,-8.807,"EXTRANJERA · Portugal (coords)"
praia-da-baia-de-porto-covo,"Praia da Baía de Porto Covo",Huelva,37.850,-8.791,"EXTRANJERA · Portugal (coords)"
praia-grande-de-almograve,"Praia Grande de Almograve",Huelva,37.652,-8.803,"EXTRANJERA · Portugal (coords)"
praia-dos-cavacos,"Praia dos Cavacos",Huelva,37.036,-7.796,"EXTRANJERA · Portugal (coords)"
praia-do-rato,"Praia do Rato",Huelva,37.119,-7.625,"EXTRANJERA · Portugal (coords)"
prainha-2,"Prainha",Huelva,37.085,-8.731,"EXTRANJERA · Portugal (coords)"
praia-do-alvor-nascente,"Praia do Alvor Nascente",Huelva,37.122,-8.590,"EXTRANJERA · Portugal (coords)"
praia-do-alvor-poente,"Praia do Alvor Poente",Huelva,37.123,-8.598,"EXTRANJERA · Portugal (coords)"
praia-dos-careanos,"Praia dos Careanos",Huelva,37.119,-8.555,"EXTRANJERA · Portugal (coords)"
praia-do-alemao,"Praia do Alemão",Huelva,37.120,-8.562,"EXTRANJERA · Portugal (coords)"
praia-do-vau,"Praia do Vau",Huelva,37.120,-8.559,"EXTRANJERA · Portugal (coords)"
praia-dos-castelos-3,"Praia dos Castelos",Huelva,37.099,-8.482,"EXTRANJERA · Portugal (coords)"
praia-da-pedra-da-agulha,"Praia da Pedra da Agulha",Huelva,37.275,-8.863,"EXTRANJERA · Portugal (coords)"
praia-do-forte-novo,"Praia do Forte Novo",Huelva,37.061,-8.088,"EXTRANJERA · Portugal (coords)"
praia-do-almargem,"Praia do Almargem",Huelva,37.059,-8.084,"EXTRANJERA · Portugal (coords)"
praia-da-lagoa-3,"Praia da Lagoa",Huelva,37.058,-8.081,"EXTRANJERA · Portugal (coords)"
praia-do-ancao,"Praia do Ancão",Huelva,37.032,-8.038,"EXTRANJERA · Portugal (coords)"
praia-de-vale-do-lobo,"Praia de Vale do Lobo",Huelva,37.049,-8.066,"EXTRANJERA · Portugal (coords)"
praia-do-garrao,"Praia do Garrão",Huelva,37.041,-8.053,"EXTRANJERA · Portugal (coords)"
praia-da-falesia-2,"Praia da Falésia",Huelva,37.080,-8.149,"EXTRANJERA · Portugal (coords)"
praia-da-falesia-acoteias,"Praia da Falésia Açoteias",Huelva,37.087,-8.169,"EXTRANJERA · Portugal (coords)"
praia-da-tranca,"Praia da Tranca",Huelva,38.419,-9.187,"EXTRANJERA · Portugal (coords)"
praia-da-zambujeira-do-mar,"Praia da Zambujeira do Mar",Huelva,37.523,-8.787,"EXTRANJERA · Portugal (coords)"
praia-dos-pilotos,"Praia dos Pilotos",Huelva,38.473,-8.984,"EXTRANJERA · Portugal (coords)"
praia-joao-vaz,"Praia João Vaz",Huelva,37.044,-8.885,"EXTRANJERA · Portugal (coords)"
praia-fluvial-de-cinco-reis,"Praia Fluvial de Cinco Reis",Huelva,38.013,-7.936,"EXTRANJERA · Portugal (coords)"
praia-de-vale-figueira,"Praia de Vale Figueira",Huelva,37.237,-8.875,"EXTRANJERA · Portugal (coords)"
praia-dos-alteirinhos-naturista,"Praia dos Alteirinhos (naturista)",Huelva,37.517,-8.790,"EXTRANJERA · Portugal (coords)"
praia-do-porto-de-mos,"Praia do Porto de Mós",Huelva,37.085,-8.690,"EXTRANJERA · Portugal (coords)"
praia-da-amalia,"Praia da Amália",Huelva,37.482,-8.795,"EXTRANJERA · Portugal (coords)"
praia-do-portinho-da-arrabida,"Praia do Portinho da Arrábida",Huelva,38.477,-8.984,"EXTRANJERA · Portugal (coords)"
praia-da-esteveira,"Praia da Esteveira",Huelva,37.408,-8.812,"EXTRANJERA · Portugal (coords)"
praia-grande-de-porto-covo,"Praia Grande de Porto Côvo",Huelva,37.857,-8.794,"EXTRANJERA · Portugal (coords)"
praia-da-barradinha,"Praia da Barradinha",Huelva,37.395,-8.819,"EXTRANJERA · Portugal (coords)"
praia-fluvial-dos-canais,"Praia Fluvial dos Canais",Huelva,37.694,-7.654,"EXTRANJERA · Portugal (coords)"
praia-da-gasolineira,"Praia da Gasolineira",Huelva,38.363,-8.796,"EXTRANJERA · Portugal (coords)"
praia-de-melides,"Praia de Melides",Huelva,38.129,-8.793,"EXTRANJERA · Portugal (coords)"
praia-da-vigia-3,"Praia da Vigia",Huelva,38.134,-8.792,"EXTRANJERA · Portugal (coords)"
praia-de-cabanas-velhas-naturista,"Praia de Cabanas Velhas (Naturista)",Huelva,37.065,-8.793,"EXTRANJERA · Portugal (coords)"
praia-da-ilha-do-pessegueiro,"Praia da Ilha do Pessegueiro",Huelva,37.832,-8.792,"EXTRANJERA · Portugal (coords)"
meia-praia-2,"Meia Praia",Huelva,37.121,-8.627,"EXTRANJERA · Portugal (coords)"
praia-da-entrada-da-barca,"Praia da Entrada da Barca",Huelva,37.551,-8.792,"EXTRANJERA · Portugal (coords)"
praia-da-angra-da-barreta,"Praia da Angra da Barreta",Huelva,37.778,-8.803,"EXTRANJERA · Portugal (coords)"
praia-do-espingardeiro,"Praia do Espingardeiro",Huelva,37.855,-8.794,"EXTRANJERA · Portugal (coords)"
praia-da-ponta-pequena,"Praia da Ponta Pequena",Huelva,37.074,-8.285,"EXTRANJERA · Portugal (coords)"
praia-de-alpertuche,"Praia de Alpertuche",Huelva,38.467,-8.990,"EXTRANJERA · Portugal (coords)"
praia-das-camarinhas,"Praia das Camarinhas",Huelva,38.463,-8.879,"EXTRANJERA · Portugal (coords)"
praia-fluvial-de-albergaria-dos-fusos,"Praia Fluvial de Albergaria dos Fusos",Huelva,38.288,-7.918,"EXTRANJERA · Portugal (coords)"
praia-da-balbina,"Praia da Balbina",Huelva,37.076,-8.306,"EXTRANJERA · Portugal (coords)"
praia-do-amado,"Praia do Amado",Huelva,37.164,-8.903,"EXTRANJERA · Portugal (coords)"
praia-cordama-naturista,"Praia Cordama Naturista",Huelva,37.127,-8.925,"EXTRANJERA · Portugal (coords)"
praia-da-barriga,"Praia da Barriga",Huelva,37.119,-8.931,"EXTRANJERA · Portugal (coords)"
praia-da-muracao,"Praia da Muração",Huelva,37.155,-8.908,"EXTRANJERA · Portugal (coords)"
praia-do-mirouco-2,"Praia do Mirouço",Huelva,37.147,-8.916,"EXTRANJERA · Portugal (coords)"
praia-da-bordeira,"Praia da Bordeira",Huelva,37.200,-8.901,"EXTRANJERA · Portugal (coords)"
praia-da-arrifana,"Praia da Arrifana",Huelva,37.292,-8.865,"EXTRANJERA · Portugal (coords)"
praia-de-vale-figueira-2,"Praia de Vale Figueira",Huelva,37.247,-8.869,"EXTRANJERA · Portugal (coords)"
praia-da-amoreira,"Praia da Amoreira",Huelva,37.351,-8.845,"EXTRANJERA · Portugal (coords)"
praia-do-medo-da-fonte-santa,"Praia do Medo da Fonte Santa",Huelva,37.324,-8.869,"EXTRANJERA · Portugal (coords)"
praia-da-carreagem,"Praia da Carreagem",Huelva,37.362,-8.839,"EXTRANJERA · Portugal (coords)"
praia-de-vale-dos-homens,"Praia de Vale dos Homens",Huelva,37.385,-8.825,"EXTRANJERA · Portugal (coords)"
praia-das-adegas,"Praia das Adegas",Huelva,37.439,-8.801,"EXTRANJERA · Portugal (coords)"
praia-de-odeceixe-mar,"Praia de Odeceixe-Mar",Huelva,37.442,-8.798,"EXTRANJERA · Portugal (coords)"
praia-do-telheiro,"Praia do Telheiro",Huelva,37.046,-8.979,"EXTRANJERA · Portugal (coords)"
praia-da-ponta-ruiva,"Praia da Ponta Ruiva",Huelva,37.069,-8.965,"EXTRANJERA · Portugal (coords)"
praia-do-zavial-naturista,"Praia do Zavial Naturista",Huelva,37.044,-8.867,"EXTRANJERA · Portugal (coords)"
praia-andorinha,"Praia Andorinha",Huelva,37.056,-8.850,"EXTRANJERA · Portugal (coords)"
praia-da-foia-do-carro,"Praia da Foia do Carro",Huelva,37.058,-8.845,"EXTRANJERA · Portugal (coords)"
praia-do-castelejo,"Praia do Castelejo",Huelva,37.100,-8.947,"EXTRANJERA · Portugal (coords)"
praia-de-almadena,"Praia de Almádena",Huelva,37.066,-8.796,"EXTRANJERA · Portugal (coords)"
praia-da-salema,"Praia da Salema",Huelva,37.065,-8.822,"EXTRANJERA · Portugal (coords)"
praia-da-boca-do-rio,"Praia da Boca do Rio",Huelva,37.066,-8.809,"EXTRANJERA · Portugal (coords)"
praia-dos-pinheiros,"Praia dos Pinheiros",Huelva,37.084,-8.667,"EXTRANJERA · Portugal (coords)"
meia-praia-3,"Meia Praia",Huelva,37.110,-8.655,"EXTRANJERA · Portugal (coords)"
praia-do-submarino,"Praia do Submarino",Huelva,37.117,-8.571,"EXTRANJERA · Portugal (coords)"
praia-rf,"Praia RF",Huelva,37.116,-8.574,"EXTRANJERA · Portugal (coords)"
praia-dos-tres-irmaos,"Praia dos Três Irmãos",Huelva,37.120,-8.582,"EXTRANJERA · Portugal (coords)"
praia-joao-de-arens,"Praia João de Arens",Huelva,37.116,-8.568,"EXTRANJERA · Portugal (coords)"
praia-do-boiao,"Praia do Boião",Huelva,37.118,-8.566,"EXTRANJERA · Portugal (coords)"
praia-dos-tres-castelos,"Praia dos Três Castelos",Huelva,37.118,-8.548,"EXTRANJERA · Portugal (coords)"
praia-do-mato,"Praia do Mato",Huelva,37.102,-8.506,"EXTRANJERA · Portugal (coords)"
praia-dos-caneiros,"Praia dos Caneiros",Huelva,37.105,-8.514,"EXTRANJERA · Portugal (coords)"
praia-de-vale-centianes,"Praia de Vale Centianes",Huelva,37.091,-8.456,"EXTRANJERA · Portugal (coords)"
praia-da-corredoura,"Praia da Corredoura",Huelva,37.088,-8.422,"EXTRANJERA · Portugal (coords)"
praia-do-cao-raivoso,"Praia do Cão Raivoso",Huelva,37.087,-8.418,"EXTRANJERA · Portugal (coords)"
praia-do-barranquinho,"Praia do Barranquinho",Huelva,37.090,-8.406,"EXTRANJERA · Portugal (coords)"
praia-do-pontal,"Praia do Pontal",Huelva,37.093,-8.393,"EXTRANJERA · Portugal (coords)"
praia-da-morena-2,"Praia da Morena",Huelva,37.093,-8.394,"EXTRANJERA · Portugal (coords)"
praia-da-estaquinha,"Praia da Estaquinha",Huelva,37.091,-8.401,"EXTRANJERA · Portugal (coords)"
praia-da-albandeira,"Praia da Albandeira",Huelva,37.091,-8.400,"EXTRANJERA · Portugal (coords)"
praia-da-senhora-da-rocha,"Praia da Senhora da Rocha",Huelva,37.097,-8.386,"EXTRANJERA · Portugal (coords)"
praia-do-barranco-2,"Praia do Barranco",Huelva,37.095,-8.392,"EXTRANJERA · Portugal (coords)"
praia-do-chiringuito,"Praia do Chiringuito",Huelva,37.079,-8.314,"EXTRANJERA · Portugal (coords)"
praia-do-sao-lourenco,"Praia do Sao Lourenco",Huelva,37.078,-8.312,"EXTRANJERA · Portugal (coords)"
praia-da-gale-leste,"Praia da Galé (leste)",Huelva,37.080,-8.315,"EXTRANJERA · Portugal (coords)"
praia-da-gale-2,"Praia da Galé",Huelva,37.082,-8.318,"EXTRANJERA · Portugal (coords)"
praia-manuel-lourenco,"Praia Manuel Lourenço",Huelva,37.076,-8.309,"EXTRANJERA · Portugal (coords)"
praia-da-ponta-grande,"Praia da Ponta Grande",Huelva,37.073,-8.287,"EXTRANJERA · Portugal (coords)"
praia-das-salamitras,"Praia das Salamitras",Huelva,37.073,-8.290,"EXTRANJERA · Portugal (coords)"
praia-da-coelha,"Praia da Coelha",Huelva,37.074,-8.294,"EXTRANJERA · Portugal (coords)"
praia-dos-paradinha,"Praia dos Paradinha",Huelva,37.075,-8.282,"EXTRANJERA · Portugal (coords)"
praia-de-sao-rafael,"Praia de São Rafael",Huelva,37.075,-8.280,"EXTRANJERA · Portugal (coords)"
praia-dos-piratas,"Praia dos Piratas",Huelva,37.074,-8.284,"EXTRANJERA · Portugal (coords)"
praia-dos-arrifes,"Praia dos Arrifes",Huelva,37.076,-8.278,"EXTRANJERA · Portugal (coords)"
praia-da-viga,"Praia da Viga",Huelva,37.075,-8.278,"EXTRANJERA · Portugal (coords)"
praia-do-risco,"Praia do Risco",Huelva,37.080,-8.264,"EXTRANJERA · Portugal (coords)"
praia-afurada-naturista,"Praia Afurada Naturista",Huelva,37.103,-8.508,"EXTRANJERA · Portugal (coords)"
praia-da-afurada,"Praia da Afurada",Huelva,37.103,-8.509,"EXTRANJERA · Portugal (coords)"
praia-do-martinhal,"Praia do Martinhal",Huelva,37.019,-8.926,"EXTRANJERA · Portugal (coords)"
praia-dos-rebolinhos,"Praia dos Rebolinhos",Huelva,37.022,-8.920,"EXTRANJERA · Portugal (coords)"
praia-dos-olhos-de-agua,"Praia dos Olhos de Água",Huelva,37.090,-8.191,"EXTRANJERA · Portugal (coords)"
praia-do-tonel-2,"Praia do Tonel",Huelva,37.006,-8.948,"EXTRANJERA · Portugal (coords)"
praia-do-canal-2,"Praia do Canal",Huelva,37.271,-8.860,"EXTRANJERA · Portugal (coords)"
praia-do-penedo,"Praia do Penedo",Huelva,37.252,-8.866,"EXTRANJERA · Portugal (coords)"
praia-da-samouqueira,"Praia da Samouqueira",Huelva,37.398,-8.817,"EXTRANJERA · Portugal (coords)"
azenhas-do-guadiana,"Azenhas do Guadiana",Huelva,37.646,-7.652,"EXTRANJERA · Portugal (coords)"
praia-de-alfarim,"Praia de Alfarim",Huelva,38.495,-9.183,"EXTRANJERA · Portugal (coords)"
praia-dos-tomates,"Praia dos Tomates",Huelva,37.078,-8.142,"EXTRANJERA · Portugal (coords)"
praia-da-prainha-2,"Praia da Prainha",Huelva,37.118,-8.578,"EXTRANJERA · Portugal (coords)"
praia-da-cordoama,"Praia da Cordoama",Huelva,37.109,-8.938,"EXTRANJERA · Portugal (coords)"
praia-da-zimbreirinha,"Praia da Zimbreirinha",Huelva,37.193,-8.914,"EXTRANJERA · Portugal (coords)"
praia-do-amado-2,"Praia do Amado",Huelva,37.169,-8.903,"EXTRANJERA · Portugal (coords)"
praia-grodo-mexilhao,"Praia Grodo Mexilhão",Huelva,37.062,-8.834,"EXTRANJERA · Portugal (coords)"
praia-da-oura,"Praia da Oura",Huelva,37.085,-8.223,"EXTRANJERA · Portugal (coords)"
praia-do-inatel,"Praia do Inatel",Huelva,37.086,-8.245,"EXTRANJERA · Portugal (coords)"
praia-do-penedo-2,"Praia do Penedo",Huelva,38.468,-9.191,"EXTRANJERA · Portugal (coords)"
praia-do-farol-ria,"Praia do Farol (ria)",Huelva,36.981,-7.862,"EXTRANJERA · Portugal (coords)"
praia-do-outao,"Praia do Outão",Huelva,38.488,-8.935,"EXTRANJERA · Portugal (coords)"
praia-fluvial-da-ribeira-de-carreiras,"Praia Fluvial da Ribeira de Carreiras",Huelva,37.617,-7.684,"EXTRANJERA · Portugal (coords)"
praia-do-meco,"Praia do Meco",Huelva,38.488,-9.184,"EXTRANJERA · Portugal (coords)"
praia-dos-penedos,"Praia dos Penedos",Huelva,38.447,-9.037,"EXTRANJERA · Portugal (coords)"
praia-do-forte-da-bandeira,"Praia do Forte da Bandeira",Huelva,37.099,-8.668,"EXTRANJERA · Portugal (coords)"
praia-do-molhe-2,"Praia do Molhe",Huelva,37.110,-8.520,"EXTRANJERA · Portugal (coords)"
praia-do-homem-nu,"Praia do Homem Nú",Huelva,37.062,-7.710,"EXTRANJERA · Portugal (coords)"
praia-da-baleeira-4,"Praia da Baleeira",Huelva,38.416,-9.190,"EXTRANJERA · Portugal (coords)"
praia-de-cramesines,"Praia de Cramesines",Huelva,38.427,-9.173,"EXTRANJERA · Portugal (coords)"
praia-da-cova-da-mijona,"Praia da Cova da Mijona",Huelva,38.431,-9.145,"EXTRANJERA · Portugal (coords)"
praia-do-inferno,"Praia do Inferno",Huelva,38.430,-9.153,"EXTRANJERA · Portugal (coords)"
praia-do-ribeiro-do-cavalo,"Praia do Ribeiro do Cavalo",Huelva,38.433,-9.129,"EXTRANJERA · Portugal (coords)"
praia-3,"Praia",Huelva,38.433,-9.126,"EXTRANJERA · Portugal (coords)"
praia-do-bico-das-lulas,"Praia do Bico das Lulas",Huelva,38.485,-8.906,"EXTRANJERA · Portugal (coords)"
praia-de-troia-gale,"Praia de Troia (Galé)",Huelva,38.475,-8.894,"EXTRANJERA · Portugal (coords)"
praia-atlantica,"Praia Atlântica",Huelva,38.459,-8.873,"EXTRANJERA · Portugal (coords)"
malha-da-costa,"Malha da Costa",Huelva,38.416,-8.832,"EXTRANJERA · Portugal (coords)"
praia-de-troia,"Praia de Tróia",Huelva,38.492,-8.908,"EXTRANJERA · Portugal (coords)"
praia-de-vale-covo,"Praia de Vale Côvo",Huelva,38.430,-9.167,"EXTRANJERA · Portugal (coords)"
praia-vasco-da-gama,"Praia Vasco da Gama",Huelva,37.953,-8.868,"EXTRANJERA · Portugal (coords)"
praia-da-ilha-de-faro,"Praia da Ilha de Faro",Huelva,37.004,-7.991,"EXTRANJERA · Portugal (coords)"
praia-da-foz-dos-ouricos,"Praia da Foz dos Ouriços",Huelva,37.658,-8.800,"EXTRANJERA · Portugal (coords)"
praia-do-farol-2,"Praia do Farol",Huelva,36.978,-7.857,"EXTRANJERA · Portugal (coords)"
plaza-de-toros,"Plaza de Toros",Albacete,39.303,-1.665,"INTERIOR · provincia sin costa"
la-playeta-2,"La Playeta",Albacete,39.190,-1.428,"INTERIOR · provincia sin costa"
playa-fluvial-de-tormellas,"Playa Fluvial de Tormellas",Ávila,40.308,-5.513,"INTERIOR · provincia sin costa"
playa-fluvial-de-el-molino,"Playa Fluvial de El Molino",Ávila,40.319,-5.495,"INTERIOR · provincia sin costa"
playa-fluvial-del-molino,"Playa Fluvial del Molino",Ávila,40.309,-5.511,"INTERIOR · provincia sin costa"
playa-los-llanos,"Playa Los Llanos",Badajoz,38.956,-5.255,"INTERIOR · provincia sin costa"
playa-de-medellin,"Playa de Medellín",Badajoz,38.965,-5.965,"INTERIOR · provincia sin costa"
playa-de-entrerrios,"Playa de Entrerrios",Badajoz,38.990,-5.725,"INTERIOR · provincia sin costa"
playa-2,"Playa",Badajoz,38.861,-6.632,"INTERIOR · provincia sin costa"
cascata-da-cabroeira,"Cascata da Cabroeira",Badajoz,39.262,-7.250,"INTERIOR · provincia sin costa"
praia-fluvial-o-moinho,"Praia Fluvial \"O Moinho\"",Badajoz,40.229,-7.221,"INTERIOR · provincia sin costa"
praia-fluvial-de-valhelhas,"Praia Fluvial de Valhelhas",Badajoz,40.403,-7.403,"INTERIOR · provincia sin costa"
playa-isla-del-zujar,"Playa Isla del Zújar",Badajoz,38.908,-5.427,"INTERIOR · provincia sin costa"
playa-de-cheles,"Playa de Cheles",Badajoz,38.548,-7.290,"INTERIOR · provincia sin costa"
playa-de-alange,"Playa de Alange",Badajoz,38.783,-6.239,"INTERIOR · provincia sin costa"
playa-de-orellana-la-vieja,"Playa de Orellana la Vieja",Badajoz,38.996,-5.530,"INTERIOR · provincia sin costa"
praia-fluvial-de-alfaiates,"Praia Fluvial de Alfaiates",Badajoz,40.382,-6.926,"INTERIOR · provincia sin costa"
playa-de-las-casetas,"Playa de las Casetas",Badajoz,38.985,-5.533,"INTERIOR · provincia sin costa"
playa-de-campanario,"Playa de Campanario",Badajoz,38.985,-5.530,"INTERIOR · provincia sin costa"
praia-fluvial-de-meimoa,"Praia fluvial de Meimoa",Badajoz,40.226,-7.188,"INTERIOR · provincia sin costa"
playa-de-puerto-pena,"Playa de Puerto Peña",Badajoz,39.146,-5.178,"INTERIOR · provincia sin costa"
playa-de-agua-dulce-galizuela,"Playa de agua dulce Galizuela",Badajoz,38.941,-5.226,"INTERIOR · provincia sin costa"
praia-fluvial-de-quadrazais,"Praia Fluvial de Quadrazais",Badajoz,40.313,-6.988,"INTERIOR · provincia sin costa"
praia-fluvial-do-meimao,"Praia Fluvial do Meimão",Badajoz,40.269,-7.144,"INTERIOR · provincia sin costa"
playa-hormigonada-de-peloche,"Playa hormigonada de Peloche",Badajoz,39.191,-5.132,"INTERIOR · provincia sin costa"
playa-de-arena-de-peloche,"Playa de arena de Peloche",Badajoz,39.193,-5.137,"INTERIOR · provincia sin costa"
praia-fluvial-de-vale-das-eguas,"Praia fluvial de Vale das Éguas",Badajoz,40.436,-7.024,"INTERIOR · provincia sin costa"
praia-fluvial-do-sabugal,"Praia Fluvial do Sabugal",Badajoz,40.348,-7.092,"INTERIOR · provincia sin costa"
praia-fluvial-da-relva-da-reboleira,"Praia Fluvial da Relva da Reboleira",Badajoz,40.412,-7.467,"INTERIOR · provincia sin costa"
praia-fluvial-de-rapoula-do-coa,"Praia Fluvial de Rapoula do Côa",Badajoz,40.418,-7.044,"INTERIOR · provincia sin costa"
praia-fluvial-de-badamalos,"Praia Fluvial de Badamalos",Badajoz,40.486,-6.991,"INTERIOR · provincia sin costa"
playa-de-fuente-prior,"Playa de Fuente Prior",Burgos,42.343,-3.662,"INTERIOR · provincia sin costa"
playa-de-arija,"Playa de Arija",Burgos,42.998,-3.947,"INTERIOR · provincia sin costa"
playa-fluvial-la-isla,"Playa Fluvial La Isla",Cáceres,39.980,-6.528,"INTERIOR · provincia sin costa"
playas-del-vicario,"Playas del Vicario",Ciudad Real,39.058,-3.988,"INTERIOR · provincia sin costa"
playa-de-valdearenas,"Playa de Valdearenas",Córdoba,37.261,-4.329,"INTERIOR · provincia sin costa"
playa-manchamar,"Playa Manchamar",Cuenca,39.701,-2.254,"INTERIOR · provincia sin costa"
playa-artificial,"playa artificial",Cuenca,40.088,-2.129,"INTERIOR · provincia sin costa"
playa-fluvial-4,"Playa fluvial",Cuenca,40.526,-2.151,"INTERIOR · provincia sin costa"
playa-de-bolarque,"Playa de Bolarque",Cuenca,40.339,-2.811,"INTERIOR · provincia sin costa"
playa-chica-6,"Playa Chica",Cuenca,40.344,-2.813,"INTERIOR · provincia sin costa"
playa-de-cueva-tomas,"Playa de Cueva Tomás",Cuenca,40.497,-2.361,"INTERIOR · provincia sin costa"
la-playeta-3,"La Playeta",Cuenca,40.467,-2.225,"INTERIOR · provincia sin costa"
playa-manchamar-2,"Playa Manchamar",Cuenca,39.702,-2.255,"INTERIOR · provincia sin costa"
area-recreativa-la-playeta-de-villora,"Área recreativa La Playeta de Villora",Cuenca,39.760,-1.637,"INTERIOR · provincia sin costa"
la-playeta-4,"La Playeta",Cuenca,39.681,-1.609,"INTERIOR · provincia sin costa"
el-empalme-trillo,"El Empalme",Guadalajara,40.691,-2.582,"INTERIOR · provincia sin costa"
playa-fluvial-rio-najerilla,"Playa fluvial Río Najerilla",La Rioja,42.418,-2.733,"INTERIOR · provincia sin costa"
poza-de-viguera,"Poza de Viguera",La Rioja,42.312,-2.541,"INTERIOR · provincia sin costa"
playa-cretacica,"Playa Cretácica",La Rioja,42.147,-2.271,"INTERIOR · provincia sin costa"
parque-la-playa,"Parque La Playa",La Rioja,42.471,-2.452,"INTERIOR · provincia sin costa"
playa-fluvial-5,"Playa fluvial",La Rioja,42.567,-2.915,"INTERIOR · provincia sin costa"
playa-fluvial-de-san-justo-de-la-vega,"Playa fluvial de San Justo de la Vega",León,42.454,-6.022,"INTERIOR · provincia sin costa"
playa-fluvial-3,"Playa Fluvial",León,42.646,-6.732,"INTERIOR · provincia sin costa"
praia-fluvial-de-congida,"Praia Fluvial de Congida",León,41.076,-6.780,"INTERIOR · provincia sin costa"
praia-do-azibo,"Praia do Azibo",León,41.586,-6.906,"INTERIOR · provincia sin costa"
praia-fluvial-da-fraga-da-pegada,"Praia Fluvial da Fraga da Pegada",León,41.582,-6.899,"INTERIOR · provincia sin costa"
praia-fluvial-de-vale-madeira,"Praia fluvial de Vale Madeira",León,40.786,-7.009,"INTERIOR · provincia sin costa"
praia-flubial,"Praia Flubial",León,41.645,-6.349,"INTERIOR · provincia sin costa"
moll-sortida-barques-raffting,"Moll sortida barques Raffting",Lleida,42.495,1.213,"INTERIOR · provincia sin costa"
virgen-de-la-nueva,"Virgen de la Nueva",Madrid,40.407,-4.380,"INTERIOR · provincia sin costa"
playa-nudista,"Playa nudista",Madrid,40.382,-4.316,"INTERIOR · provincia sin costa"
cala-tiburon,"Cala Tiburón",Madrid,40.379,-4.328,"INTERIOR · provincia sin costa"
zona-de-bano-la-puente,"Zona de Baño La Puente",Madrid,40.507,-4.167,"INTERIOR · provincia sin costa"
playa-de-la-pavera,"Playa de \"La Pavera\"",Madrid,40.043,-3.555,"INTERIOR · provincia sin costa"
ibai-hondartza,"Ibai-hondartza",Navarra,42.930,-1.503,"INTERIOR · provincia sin costa"
playa-fluvial,"Playa fluvial",Navarra,42.860,-1.574,"INTERIOR · provincia sin costa"
nagoreko-hondartza,"Nagoreko hondartza",Navarra,42.858,-1.375,"INTERIOR · provincia sin costa"
embarcadero-2,"Embarcadero",Navarra,42.721,-1.940,"INTERIOR · provincia sin costa"
artziko-hondartza,"Artziko hondartza",Navarra,42.863,-1.377,"INTERIOR · provincia sin costa"
nagoreko-hondartza-2,"Nagoreko hondartza",Navarra,42.853,-1.375,"INTERIOR · provincia sin costa"
playa-fluvial-natural-del-urederra,"Playa Fluvial Natural del Urederra",Navarra,42.696,-2.051,"INTERIOR · provincia sin costa"
praia-fluvial-de-chandrexa-de-queixa,"Praia Fluvial de Chandrexa de Queixa",Ourense,42.257,-7.384,"INTERIOR · provincia sin costa"
o-inquiau,"O Inquiau",Ourense,42.242,-8.131,"INTERIOR · provincia sin costa"
praia-do-coinedo,"Praia do Coiñedo",Ourense,42.251,-7.034,"INTERIOR · provincia sin costa"
praia-dos-franceses,"Praia dos Franceses",Ourense,42.246,-7.034,"INTERIOR · provincia sin costa"
playa-del-embalse-de-aguilar,"Playa del embalse de Aguilar",Palencia,42.788,-4.302,"INTERIOR · provincia sin costa"
