slug,nombre,provincia_declarada,lat,lng,motivo
sidi-boumaazza,"Sidi boumaazza",Almería,36.643,2.681,"EXTRANJERA · Argelia (coords)"
plage-chenoua,"Plage Chenoua",Almería,36.596,2.426,"EXTRANJERA · Argelia (coords)"
-19,"شاطئ الصابلات",Almería,36.744,3.117,"EXTRANJERA · Argelia (coords)"
plage-dachria,"Plage Dachria",Almería,36.335,0.749,"EXTRANJERA · Argelia (coords)"
tamentfoust,"Tamentfoust",Almería,36.806,3.234,"EXTRANJERA · Argelia (coords)"
plage-de-beni-haoua,"Plage de Beni Haoua",Almería,36.536,1.571,"EXTRANJERA · Argelia (coords)"
plage-tighaza-tardjilet,"Plage Tighaza Tardjilet",Almería,36.553,1.679,"EXTRANJERA · Argelia (coords)"
-22,"شاطئ المرسى",Almería,36.812,3.256,"EXTRANJERA · Argelia (coords)"
deca-plage,"Deca Plage",Almería,36.789,3.315,"EXTRANJERA · Argelia (coords)"
-23,"الغابة المقدسة",Almería,36.568,1.881,"EXTRANJERA · Argelia (coords)"
bateau-casse,"Bateau Cassé",Almería,36.768,3.222,"EXTRANJERA · Argelia (coords)"
plage-bouchghal,"Plage Bouchghal",Almería,36.537,1.442,"EXTRANJERA · Argelia (coords)"
plage-youtar,"Plage Youtar",Almería,36.555,1.721,"EXTRANJERA · Argelia (coords)"
plage-gounini,"Plage Gounini",Almería,36.568,2.022,"EXTRANJERA · Argelia (coords)"
plage-4,"plage",Almería,36.163,0.321,"EXTRANJERA · Argelia (coords)"
plage-klovis,"Plage Klovis",Almería,36.130,0.275,"EXTRANJERA · Argelia (coords)"
2-2,"شاطئ حورية البحر 2",Almería,36.747,3.179,"EXTRANJERA · Argelia (coords)"
bosquet-plage-hadjadj,"Bosquet plage Hadjadj",Almería,36.139,0.291,"EXTRANJERA · Argelia (coords)"
plage-mer-et-soleil,"Plage Mer et Soleil",Almería,36.612,2.204,"EXTRANJERA · Argelia (coords)"
plage-petit-port,"Plage Petit port",Almería,36.210,0.394,"EXTRANJERA · Argelia (coords)"
plage-du-phare,"Plage du phare",Almería,36.812,2.952,"EXTRANJERA · Argelia (coords)"
plage-matares,"Plage Matares",Almería,36.594,2.432,"EXTRANJERA · Argelia (coords)"
plage-5,"Plage شاطئ",Almería,36.283,0.588,"EXTRANJERA · Argelia (coords)"
plage-sidi-abdelkader-achaacha,"Plage Sidi Abdelkader (Achaacha",Almería,36.316,0.643,"EXTRANJERA · Argelia (coords)"
plage-6,"Plage شاطئ",Almería,36.307,0.631,"EXTRANJERA · Argelia (coords)"
plage-7,"Plage شاطئ",Almería,36.302,0.618,"EXTRANJERA · Argelia (coords)"
nouvelle-plage-petit-port-2,"Nouvelle plage Petit port 2",Almería,36.210,0.405,"EXTRANJERA · Argelia (coords)"
plage-ain-brahim,"Plage Aïn Brahim",Almería,36.221,0.451,"EXTRANJERA · Argelia (coords)"
plage-des-datties,"Plage des Dattiés",Almería,36.476,1.038,"EXTRANJERA · Argelia (coords)"
plage-du-camp-des-oulemas,"Plage du camp des oulemas",Almería,36.477,1.042,"EXTRANJERA · Argelia (coords)"
plage-djzebouj,"Plage Djzebouj",Almería,36.482,1.053,"EXTRANJERA · Argelia (coords)"
-33,"شاطئ وادي القصب",Almería,36.504,1.257,"EXTRANJERA · Argelia (coords)"
chenoua-plage,"Chenoua Plage",Almería,36.603,2.412,"EXTRANJERA · Argelia (coords)"
plage-kef-lasfar,"Plage Kef Lasfar",Almería,36.184,0.339,"EXTRANJERA · Argelia (coords)"
plage-de-reghaia-2,"Plage de Reghaia",Almería,36.783,3.350,"EXTRANJERA · Argelia (coords)"
plage-sidi-abdelkader-achaacha-2,"Plage Sidi Abdelkader (Achaacha",Almería,36.312,0.639,"EXTRANJERA · Argelia (coords)"
plage-la-presquile,"Plage La Presqu'île",Almería,36.557,1.732,"EXTRANJERA · Argelia (coords)"
plage-damous-trax,"Plage Damous trax",Almería,36.555,1.735,"EXTRANJERA · Argelia (coords)"
ain-el-beida,"ain el beida",Almería,36.800,3.281,"EXTRANJERA · Argelia (coords)"
-37,"شاطئ ليدان",Almería,36.799,3.049,"EXTRANJERA · Argelia (coords)"
plage-de-montbel,"Plage de Montbel",Girona,42.979,1.970,"EXTRANJERA · Francia (override)"
praia-da-culatra,"Praia da Culatra",Huelva,37.003,-7.802,"EXTRANJERA · Portugal (coords)"
praia-da-sesmaria,"Praia da Sesmaria",Huelva,38.124,-8.795,"EXTRANJERA · Portugal (coords)"
quinta-amoroso,"Quinta Amoroso",Huelva,37.197,-8.499,"EXTRANJERA · Portugal (coords)"
praia-fluvial-de-oriola,"Praia Fluvial de Oriola",Huelva,38.314,-7.862,"EXTRANJERA · Portugal (coords)"
praia-dos-tesos,"Praia dos Tesos",Huelva,37.007,-7.942,"EXTRANJERA · Portugal (coords)"
praia-da-california,"Praia da Califórnia",Huelva,38.441,-9.098,"EXTRANJERA · Portugal (coords)"
praia-da-batata,"Praia da Batata",Huelva,37.098,-8.668,"EXTRANJERA · Portugal (coords)"
praia-de-dona-ana,"Praia de Dona Ana",Huelva,37.092,-8.669,"EXTRANJERA · Portugal (coords)"
praia-do-burgau,"Praia do Burgau",Huelva,37.071,-8.776,"EXTRANJERA · Portugal (coords)"
praia-de-coelha,"Praia de Coelha",Huelva,37.335,-8.860,"EXTRANJERA · Portugal (coords)"
praia-do-castelo,"Praia do Castelo",Huelva,37.073,-8.299,"EXTRANJERA · Portugal (coords)"
praia-do-evaristo,"Praia do Evaristo",Huelva,37.074,-8.303,"EXTRANJERA · Portugal (coords)"
praia-dos-salgados,"Praia dos Salgados",Huelva,37.086,-8.325,"EXTRANJERA · Portugal (coords)"
praia-de-monte-clerigo,"Praia de Monte Clérigo",Huelva,37.342,-8.853,"EXTRANJERA · Portugal (coords)"
praia-de-santa-eulalia,"Praia de Santa Eulália",Huelva,37.088,-8.213,"EXTRANJERA · Portugal (coords)"
praia-da-mareta,"Praia da Mareta",Huelva,37.005,-8.939,"EXTRANJERA · Portugal (coords)"
praia-do-camilo,"Praia do Camilo",Huelva,37.087,-8.668,"EXTRANJERA · Portugal (coords)"
praia-do-barril,"Praia do Barril",Huelva,37.085,-7.663,"EXTRANJERA · Portugal (coords)"
praia-da-fuseta-ria,"Praia da Fuseta-Ria",Huelva,37.050,-7.744,"EXTRANJERA · Portugal (coords)"
praia-do-barril-2,"Praia do Barril",Huelva,37.074,-7.687,"EXTRANJERA · Portugal (coords)"
praia-da-terra-estreita-na-ilha-de-tavira,"Praia da Terra Estreita na Ilha de Tavira",Huelva,37.099,-7.640,"EXTRANJERA · Portugal (coords)"
praia-da-ilha-de-tavira,"Praia da Ilha de Tavira",Huelva,37.110,-7.621,"EXTRANJERA · Portugal (coords)"
praia-tavira-ria,"Praia Tavira-Ria",Huelva,37.115,-7.623,"EXTRANJERA · Portugal (coords)"
praia-do-forte-da-barra,"Praia do Forte da Barra",Huelva,37.120,-7.612,"EXTRANJERA · Portugal (coords)"
praia-da-fuseta-mar,"Praia da Fuseta-Mar",Huelva,37.046,-7.739,"EXTRANJERA · Portugal (coords)"
praia-da-armona-mar,"Praia da Armona-Mar",Huelva,37.018,-7.792,"EXTRANJERA · Portugal (coords)"
praia-da-ilha-deserta,"Praia da Ilha Deserta",Huelva,36.963,-7.879,"EXTRANJERA · Portugal (coords)"
praia-da-quinta-do-lago,"Praia da Quinta do Lago",Huelva,37.025,-8.025,"EXTRANJERA · Portugal (coords)"
praia-de-vilamoura,"Praia de Vilamoura",Huelva,37.071,-8.117,"EXTRANJERA · Portugal (coords)"
praia-do-pinhao,"Praia do Pinhão",Huelva,37.094,-8.668,"EXTRANJERA · Portugal (coords)"
praia-dos-estudantes,"Praia dos Estudantes",Huelva,37.096,-8.667,"EXTRANJERA · Portugal (coords)"
praia-tomas-franco,"Praia Tomás Franco",Huelva,37.077,-8.311,"EXTRANJERA · Portugal (coords)"
praia-do-beliche,"Praia do Beliche",Huelva,37.026,-8.965,"EXTRANJERA · Portugal (coords)"
praia-da-rocha,"Praia da Rocha",Huelva,37.116,-8.536,"EXTRANJERA · Portugal (coords)"
praia-grande-ferragudo,"Praia Grande (Ferragudo)",Huelva,37.116,-8.520,"EXTRANJERA · Portugal (coords)"
praia-da-angrinha,"Praia da Angrinha",Huelva,37.122,-8.523,"EXTRANJERA · Portugal (coords)"
praia-da-cova-redonda,"Praia da Cova Redonda",Huelva,37.099,-8.381,"EXTRANJERA · Portugal (coords)"
praia-dos-beijinhos,"Praia dos Beijinhos",Huelva,37.101,-8.374,"EXTRANJERA · Portugal (coords)"
praia-vale-do-olival,"Praia Vale do Olival",Huelva,37.102,-8.370,"EXTRANJERA · Portugal (coords)"
praia-do-carvalho,"Praia do Carvalho",Huelva,37.087,-8.432,"EXTRANJERA · Portugal (coords)"
praia-do-pintadinho,"Praia do Pintadinho",Huelva,37.108,-8.519,"EXTRANJERA · Portugal (coords)"
praia-nova-2,"Praia Nova",Huelva,37.096,-8.388,"EXTRANJERA · Portugal (coords)"
praia-dos-tremocos,"Praia dos Tremoços",Huelva,37.100,-8.377,"EXTRANJERA · Portugal (coords)"
praia-da-marinha,"Praia da Marinha",Huelva,37.090,-8.413,"EXTRANJERA · Portugal (coords)"
praia-do-carvoeiro,"Praia do Carvoeiro",Huelva,37.096,-8.472,"EXTRANJERA · Portugal (coords)"
praia-dos-pescadores-2,"Praia dos Pescadores",Huelva,37.087,-8.250,"EXTRANJERA · Portugal (coords)"
praia-do-peneco,"Praia do Peneco",Huelva,37.086,-8.254,"EXTRANJERA · Portugal (coords)"
praia-dos-alemaes,"Praia dos Alemães",Huelva,37.084,-8.238,"EXTRANJERA · Portugal (coords)"
praia-da-baleeira,"Praia da Baleeira",Huelva,37.082,-8.262,"EXTRANJERA · Portugal (coords)"
praia-da-falesia,"Praia da Falésia",Huelva,37.075,-8.132,"EXTRANJERA · Portugal (coords)"
praia-maria-luisa,"Praia Maria Luísa",Huelva,37.089,-8.201,"EXTRANJERA · Portugal (coords)"
praia-dos-aveiros,"Praia dos Aveiros",Huelva,37.083,-8.231,"EXTRANJERA · Portugal (coords)"
